Date,Adj Close,SMA 10,SMA 25,SMA 100,WMA10,EMA10
2016-08-31,575.4719848632812,577.8702941894531,580.2375634765625,616.9920306396484,576.102,576.828
2016-09-01,572.302978515625,576.42529296875,579.4220825195313,618.2552505493164,575.09,576.005
2016-09-02,575.5369873046875,575.6374938964843,578.8014013671875,619.5146304321289,574.928,575.92
2016-09-03,598.2119750976562,577.4404907226562,579.2178393554688,620.96291015625,579.032,579.973
2016-09-04,608.6339721679688,580.5277893066407,579.8790771484375,622.3146099853516,584.704,585.184
2016-09-05,606.5900268554688,583.2216918945312,580.5778784179688,623.0801104736328,589.443,589.076
2016-09-06,610.4359741210938,587.2705871582032,581.4929565429687,623.9221405029297,594.391,592.96
2016-09-07,614.5440063476562,591.3337890625,582.6511962890625,624.7289404296876,599.349,596.884
2016-09-08,626.3159790039062,596.5546875,584.8849145507812,625.6782403564453,605.71,602.235
2016-09-09,622.8610229492188,601.0904907226562,587.109755859375,626.5376507568359,610.493,605.985
2016-09-10,623.5089721679688,605.894189453125,588.9525537109375,627.3930206298828,614.569,609.172
2016-09-11,606.718994140625,609.335791015625,590.2926733398438,627.7682708740234,614.719,608.726
2016-09-12,608.2429809570312,612.6063903808594,591.6496728515625,628.1234307861328,614.52,608.638
2016-09-13,609.2410278320312,613.7092956542969,592.9941137695313,628.4660711669922,613.908,608.748
2016-09-14,610.6840209960938,613.9143005371094,594.15359375,628.7175415039062,613.358,609.1
2016-09-15,607.155029296875,613.97080078125,595.1874755859375,629.0231219482422,612.129,608.746
2016-09-16,606.9730224609375,613.6245056152344,595.9962768554688,629.2764019775391,610.857,608.424
2016-09-17,605.9840087890625,612.768505859375,596.8990380859375,629.5899420166015,609.468,607.98
2016-09-18,609.8740234375,611.1243103027343,598.08671875,629.9139825439453,608.942,608.324
2016-09-19,609.2269897460938,609.7609069824218,599.3453588867187,629.9389825439453,608.597,608.489
2016-09-20,608.31201171875,608.2412109375,600.4917993164063,629.2942626953125,608.333,608.456
2016-09-21,597.1489868164062,607.2842102050781,601.5798779296875,628.2219927978516,606.316,606.401
2016-09-22,596.2979736328125,606.0897094726563,602.4753173828125,627.3293823242187,604.319,604.564
2016-09-23,602.8419799804688,605.4498046875,603.624716796875,626.4131121826172,603.728,604.251
2016-09-24,602.625,604.6439025878906,604.6295971679688,624.7762823486328,603.215,603.955
2016-09-25,600.8259887695312,604.0109985351562,605.6437573242188,623.2954522705078,602.521,603.386
2016-09-26,608.0430297851562,604.1179992675782,607.073359375,621.8136126708985,603.254,604.233
2016-09-27,606.166015625,604.1361999511719,608.2985205078126,620.2374627685547,603.626,604.584
2016-09-28,604.72802734375,603.6216003417969,608.5591625976563,618.9124829101562,603.734,604.61
2016-09-29,605.6929931640625,603.2682006835937,608.4415234375,618.3028930664062,604.11,604.807
2016-09-30,609.7349853515625,603.410498046875,608.5673217773438,618.4390826416015,605.286,605.703
2016-10-01,613.9829711914062,605.093896484375,608.7092016601563,618.3391424560547,607.208,607.209
2016-10-02,610.8920288085938,606.5533020019532,608.5631225585937,617.795072631836,608.263,607.878
2016-10-03,612.1329956054688,607.4824035644531,607.9958032226563,617.2651727294922,609.277,608.652
2016-10-04,610.2039794921875,608.2403015136719,607.489521484375,617.0735424804687,609.772,608.934
2016-10-05,612.510986328125,609.4088012695313,607.0496020507812,616.6459020996094,610.548,609.584
2016-10-06,613.02099609375,609.9065979003906,607.3016821289062,616.3061022949219,611.205,610.209
2016-10-07,617.1209716796875,611.0020935058594,607.6568017578124,616.0784118652343,612.517,611.466
2016-10-08,619.1079711914062,612.440087890625,608.0514794921875,615.5361218261719,613.991,612.855
2016-10-09,616.7520141601562,613.5459899902344,608.29419921875,614.9406817626954,614.775,613.564
2016-10-10,618.9940185546875,614.4718933105469,608.7677587890626,614.0936016845703,615.765,614.551
2016-10-11,641.072021484375,617.1807983398437,610.13171875,613.9176818847657,620.602,619.373
2016-10-12,636.1920166015625,619.7107971191406,611.3400390625,613.4429821777344,624.058,622.431
2016-10-13,636.7860107421875,622.1760986328125,612.4165185546875,613.1045721435547,627.163,625.041
2016-10-14,640.3779907226562,625.1934997558594,613.66255859375,612.7350421142578,630.472,627.83
2016-10-15,638.64599609375,627.8070007324219,614.87591796875,612.7158819580078,632.918,629.796
2016-10-16,641.6309814453125,630.6679992675781,616.6551977539062,612.4669616699218,635.431,631.948
2016-10-17,639.1929931640625,632.8752014160157,618.3709985351562,612.3492913818359,636.981,633.265
2016-10-18,637.9600219726562,634.7604064941406,619.7757202148438,612.2352917480468,637.906,634.119
2016-10-19,630.52001953125,636.13720703125,620.8915209960937,612.0639019775391,637.135,633.465
2016-10-20,630.8569946289062,637.3235046386719,622.0927612304688,611.7269616699218,636.175,632.99
2016-10-21,632.8280029296875,636.4991027832032,623.08416015625,611.5105615234374,635.358,632.961
2016-10-22,657.2940063476562,638.6093017578125,625.1292797851562,611.5027215576172,639.138,637.385
2016-10-23,657.0709838867188,640.6377990722656,627.222998046875,611.4408813476563,642.495,640.964
2016-10-24,653.760986328125,641.9760986328125,629.1457177734375,611.3708209228515,644.881,643.291
2016-10-25,657.5880126953125,643.8703002929688,631.0598388671875,611.1521112060547,647.72,645.89
2016-10-26,678.3040161132812,647.5376037597656,633.6326806640625,611.2040911865234,653.98,651.784
2016-10-27,688.31298828125,652.4496032714844,636.7295190429687,611.3585809326172,661.394,658.426
2016-10-28,689.6510009765625,657.618701171875,639.8302392578125,611.5982409667969,668.158,664.103
2016-10-29,714.47900390625,666.014599609375,644.001240234375,612.0929107666016,678.496,673.262
2016-10-30,701.864013671875,673.1153015136719,647.575361328125,612.6053607177735,685.014,678.463
2016-10-31,700.9719848632812,679.9296997070312,651.0934008789062,613.0595202636719,690.079,682.555
2016-11-01,729.7930297851562,687.1796020507812,655.600283203125,613.7446008300781,699.145,691.144
2016-11-02,740.8289794921875,695.5554016113281,660.4691235351562,614.6119207763672,708.9,700.178
2016-11-03,688.7000122070312,699.0493041992188,663.3470434570313,614.9810809326171,707.653,698.091
2016-11-04,703.2349853515625,703.6140014648438,666.7166821289062,615.4699108886718,708.414,699.026
2016-11-05,703.4180297851562,706.1254028320312,669.2105224609375,615.9537414550781,708.379,699.825
2016-11-06,711.52197265625,708.4463012695312,672.223720703125,616.4990411376953,709.36,701.951
2016-11-07,703.1309814453125,709.7942993164063,674.87751953125,616.9798809814453,708.393,702.166
2016-11-08,709.8480224609375,709.331201171875,677.6563208007813,617.8315509033204,708.403,703.563
2016-11-09,723.2730102539062,711.4721008300781,681.0414013671875,619.0015612792969,710.938,707.146
2016-11-10,715.5339965820312,712.9283020019532,683.9975219726563,620.6822509765625,711.677,708.671
2016-11-11,716.4110107421875,711.5901000976562,687.0862426757812,622.1828112792969,712.31,710.079
2016-11-12,705.0540161132812,708.0126037597656,689.7700024414063,623.4504614257812,711.121,709.165
2016-11-13,702.031005859375,709.345703125,692.6304418945313,624.7203411865235,710.034,707.868
2016-11-14,705.02099609375,709.5243041992187,695.597001953125,625.8927709960938,709.248,707.35
2016-11-15,711.6190185546875,710.3444030761718,698.748642578125,627.0820611572266,709.628,708.126
2016-11-16,744.197998046875,713.6120056152344,702.2248022460938,628.6135009765625,715.784,714.685
2016-11-17,740.9769897460938,717.3966064453125,705.5810424804688,630.1452606201171,720.759,719.465
2016-11-18,751.5850219726562,721.5703063964844,709.49400390625,631.7400805664063,726.975,725.305
